5,729,42,14,25,14,15,14,7,1,7,3,5,1,1,41,1,5,29,18,6,9,39,36,101,1,35,2,1,1,66,2,4,2,14,29,94,15,21,4,16,12,15,1,2
,,,Nursery_0_CA,Nursery_2007_CA,Nursery_2006_OR,Nursery_2007_OR,Nursery_2008_OR,Nursery_2004_OR,Nursery_2003_OR,Nursery_2005_OR,Nursery_2006_CA,Nursery_2004_CA,Nursery_2000_CA,Nursery_0_OR,Nursery_2008_CA,Nursery_2009_OR,Nursery_2010_OR,Nursery_2010_CA,Nursery_2011_CA,Nursery_2012_OR,Nursery_2012_CA,JHallCr_2001_OR,JHallCr_2002_OR,JHallCr_2003_OR,NFChetHigh_2003_OR,JHallCr_2004_OR,JHallCr_2005_OR,Coast_2006_OR,Coast_2010_OR,HunterCr_2011_OR,Coast_2011_OR,NFChetHigh_2012_OR,Coast_2012_OR,Winchuck_2012_OR,JHallCr_2013_OR,NFChetHigh_2013_OR,ChetcoMain_2013_OR,Winchuck_2013_OR,PistolRSF_2013_OR,Coast_2013_OR,Coast_2014_OR,NFChetHigh_2014_OR,ChetcoMain_2014_OR,JHallCr_2014_OR
Ind,Pop,PrMS6A1, ,Pr9C3A1, ,PrMS39A1, ,PrMS45A1, ,PrMS43A1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1360295-17","Nursery_0_CA","165","168","216","226","130","246","166","186","281","372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1341321-32","Nursery_0_CA","165","168","216","226","130","246","166","186","281","372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-3","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-5","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-6","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-7","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-8","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-10","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-12","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-13","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-15","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-16","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339849-17","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1429425","Nursery_2007_CA","165","168","216","226","130","246","166","186","372","489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
